payment_id,order_id,settlement_id,settlement_utr,entity_type,payment_method,gross_amount,fee,gst_on_fee,net_amount,settled_at,txn_status,arn,dispute_id,notes
PAY00034,ORD0034,STL0034,UTR700034,payment,debit_card,4543.8,90.88,16.36,4436.56,2026-08-10,settled,,,
PAY00035,ORD0035,STL0035,UTR700035,payment,upi,14316.48,286.33,51.54,13978.61,2026-08-11,settled,,,
PAY00036,ORD0036,STL0036,UTR700036,payment,credit_card,7713.69,154.27,27.77,7531.65,2026-08-06,settled,,,
PAY00037,ORD0037,STL0037,UTR700037,payment,wallet,12656.71,253.13,45.56,12358.02,2026-08-19,settled,,,
PAY00038,ORD0038,STL0038,UTR700038,payment,netbanking,2462.02,49.24,8.86,2403.92,2026-08-10,settled,,,
PAY00039,ORD0039,STL0039,UTR700039,payment,amex,13793.7,413.81,74.49,13305.4,2026-08-24,settled,,,
PAY00040,ORD0040,STL0040,UTR700040,payment,international_card,488.26,14.65,2.64,470.97,2026-08-14,settled,,,
PAY00041,ORD0041,STL0041,UTR700041,payment,wallet,3743.89,74.88,13.48,3655.53,2026-08-11,settled,,,
PAY00042,ORD0042,STL0042,UTR700042,payment,debit_card,1467.67,29.35,5.28,1433.04,2026-08-18,settled,,,
PAY00043,ORD0043,STL0043,UTR700043,payment,debit_card,14674.17,293.48,52.83,14327.86,2026-08-20,settled,,,
PAY00044,ORD0044,STL0044,UTR700044,payment,credit_card,2100.19,42.0,7.56,2050.63,2026-08-18,settled,,,
PAY00045,ORD0045,STL0045,UTR700045,payment,credit_card,4122.84,82.46,14.84,4025.54,2026-08-24,settled,,,
PAY00046,ORD0046,STL0046,UTR700046,payment,upi,2000,40.0,7.2,1952.8,2026-08-11,settled,,,
PAY00047,ORD0047,STL0047,UTR700047,refund,credit_card,5000,0,0,-4882.0,2026-08-10,refunded,,,
PAY00048,ORD0048,STL0048,UTR700048,payment,debit_card,3000,60.0,10.8,1729.2,2026-08-11,partially_refunded,,,
PAY00049,ORD0049,STL0049,,payment,upi,1800,36.0,6.48,1757.52,2026-08-24,settled,,,
PAY00050,ORD0050,STL0050,UTR700049,payment,upi,999,19.98,3.6,975.42,2026-08-07,settled,,,
PAY00050,ORD0050,STL0050,UTR700049,payment,upi,999,19.98,3.6,975.42,2026-08-07,settled,,,
PAY00051,ORD0051,STL0051,,payment,netbanking,4200,84.0,15.12,4100.88,2026-08-11,settled,,,
PAY00052,ORD0052,STL0052,UTR700050,payment,credit_card,333.33,6.67,1.2,325.44,2026-08-14,settled,,,
PAY00053,ORD0054,STL0053,UTR700051,payment,upi,1000,20.0,3.6,976.4,2026-08-18,settled,,,
PAY00054,ORD0055,STL0053,UTR700051,payment,upi,1500,30.0,5.4,1464.6,2026-08-18,settled,,,
PAY00055,ORD0056,STL0054,UTR700052,payment,rupay_credit_upi,2500,53.75,9.67,2436.58,2026-08-18,settled,,,
PAY00056,ORD0057,STL0055,UTR700053,payment,emi,12000,360.0,64.8,11575.2,2026-08-19,settled,,,
PAY00057,ORD0059,STL0056,UTR700054,payment,debit_card,1250,25.0,4.5,1220.5,2026-08-21,settled,,,
PAY00058,ORD0060,STL0057,UTR700055,payment,international_card,9000,270.0,48.6,8681.4,2026-08-12,settled,,,
PAY00059,ORD0061,STL0058,UTR700056,payment,amex,4500,135.0,24.3,4340.7,2026-08-06,settled,,,
PAY00060,ORD0062,STL0059,UTR700057,payment,credit_card,7000,140.0,25.2,6834.8,2026-08-12,released_after_hold,,,
PAY00061,,STL0060,UTR700058,adjustment,,,0,0,-150.0,2026-08-11,settled,,,Manual correction - duplicate payout reversal
PAY00062,ORD0063,STL0061,UTR700059,payment,upi,6500,130.0,23.4,6346.6,2026-08-04,settled,,,
PAY00063,ORD0063,STL0062,UTR700060,refund,upi,6500,0,0,-6346.6,2026-08-21,refunded,ARN90012345,,Refund processed in a later cycle
PAY00064,ORD0064,STL0062,UTR700060,payment,upi,2200,44.0,7.92,2148.08,2026-08-21,settled,,,
PAY00065,ORD0065,STL0063,UTR700061,payment,international_card,6000,180.0,32.4,5787.6,2026-08-17,settled,,,
PAY00066,ORD0065,STL0064,UTR700062,chargeback,international_card,6000,0,0,-6000.0,2026-09-07,chargeback,,DSP4471,Principal reversal for disputed transaction
PAY00067,ORD0065,STL0064,UTR700062,adjustment,international_card,,0,0,-250.0,2026-09-07,settled,,DSP4471,Chargeback processing fee
